Country	ISO3	ISO2	Continent	Region	Capital_Latitude_Deg	Capital_Longitude_Deg	Land_Area_SqKm	Population_2024_Ref_Millions	GDP_2024_Ref_USD_Billions	Population_Year_Millions	Year	Fossil_Share_Of_Energy_Index	Energy_Intensity_Index	Temperature_Anomaly_C	Annual_Mean_Temp_C	Summer_Mean_Temp_C	Winter_Mean_Temp_C	Annual_Max_Temp_C	Annual_Min_Temp_C	Heatwave_Days	Frost_Days	CO2_Emissions_Total_Mt	CO2_Per_Capita_Tons	Methane_Emissions_MtCO2e	N2O_Emissions_MtCO2e	CO2_Energy_Sector_Mt	CO2_Transportation_Mt	CO2_Industrial_Mt	CO2_Residential_Mt	Renewable_Energy_Share_Pct	Coal_Consumption_Mtoe	Oil_Consumption_Mtoe	Gas_Consumption_Mtoe	Electricity_Consumption_TWh	Solar_Installed_Capacity_GW	Wind_Installed_Capacity_GW	Hydropower_Installed_Capacity_GW	Forest_Area_Pct_Of_Land	Forest_Area_SqKm	Forest_Loss_Annual_SqKm	Deforestation_Rate_Pct_Per_Yr	Reforestation_Annual_SqKm	Tree_Cover_Net_Change_Pct_Per_Yr	Annual_Rainfall_mm	Drought_Index_0to100	Water_Avail_CumM3PerCapita	Freshwater_Withdrawal_Pct_Of_Avail	Groundwater_Level_Index	Crop_Yield_Index	Soil_Moisture_Pct	Irrigated_Area_Pct_Of_AgriLand	Agri_Emissions_MtCO2e	Food_Production_Index	Sea_Level_Rise_Cumulative_mm	Ocean_Heat_Content_Index	Ocean_pH	Coastal_Flood_Risk_Index_0to100	PM2_5_Annual_Mean_ug_m3	PM10_Annual_Mean_ug_m3	Air_Quality_Index	Ozone_Annual_Mean_ug_m3	NO2_Annual_Mean_ug_m3	Hurricanes	Cyclones	Flood_Events_Count	Wildfires	Landslides	Tornadoes	Storms	Drought_Events_Count	Endangered_Species_Count	Habitat_Loss_Index_0to100	Coral_Bleaching_Index_0to100	Wildlife_Population_Index	GDP_Current_USD_Billions	GDP_Loss_Climate_Pct	Climate_Damage_Cost_USD_Billions	Agricultural_Loss_USD_Billions	Disaster_Insurance_Loss_USD_Billions	Heat_Related_Deaths	Heat_Related_Deaths_Per_Million	Respiratory_Disease_Rate_Per100k	Climate_Displaced_Persons_Thousands	Food_Insecurity_Index_0to100	Climate_Policy_Score_0to100	Net_Zero_Target	Carbon_Tax_USD_Per_TonCO2	Protected_Area_Pct_Of_Land	Environmental_Performance_Index	SDG_Climate_Score_0to100	ESG_Score	Green_Investment_USD_Billions	Recycling_Rate_Pct
El Salvador	SLV	SV	North America	Central America	13.79	-88.9	21041	6.3	34	6.192	2016	0.627985067	0.36295162	0.562	23.41	27.61	20.56	33.45	16.35	34	0	0.083	13.845	0.653	0.196	0.036	0.017	0.025	0.004	23.78	3.224	7.097	7.221	26.31	0.024	0.03	0.072	8.61	1811.6	1.09	0.06	0.57	-0.0025	1915.3	51.5	28128.2	16.51	102.9	100.1	36.5	34.3	0.233	110.1	94.37	16.34	8.0625	36.7	26.64	43.88	59.1	26.68	15.17	0	0	0	2	0	0	1	2	50	6.9	67.4	94.8	30.304	1.608	0.487	0.2002	0.0903	25.4	4.102	424	0.71	54.7	33.4	0	0	12.52	38.1	58	45.1	0.0321	5.1
El Salvador	SLV	SV	North America	Central America	13.79	-88.9	21041	6.3	34	6.241	2017	0.627985067	0.36295162	0.621	23.36	27.18	19.71	33.24	11.53	34	0	0.077	12.902	0.543	0.199	0.037	0.015	0.022	0.004	22.15	3.203	7.003	7.466	24.76	0.035	0.026	0.081	16	3366.6	0.98	0.029	0.92	-0.0003	1711.1	46.9	28063.1	15.59	98.4	103.4	36.9	25.6	0.236	118.3	95.56	16.28	8.0506	38.2	21.65	34.39	47.7	36.67	19.52	1	0	2	2	2	2	0	2	61	2.4	68.7	85.5	29.147	1.479	0.431	0.1831	0.3347	26.5	4.246	387.9	0.47	62.5	33.9	0	12.72	8.25	39.7	47	45.5	0.0575	13.1
El Salvador	SLV	SV	North America	Central America	13.79	-88.9	21041	6.3	34	6.29	2018	0.627985067	0.36295162	0.742	22.63	25.56	19.23	30.72	11.81	39	2	0.074	12.311	0.716	0.215	0.034	0.015	0.021	0.005	22.64	4.495	7.103	5.809	27.49	0.036	0.033	0.066	8.99	1891.6	1.41	0.075	0.8	-0.0029	1704.2	41.3	27998.3	15.51	95.9	112.1	42.3	38.9	0.227	121.1	101.51	21.04	8.0544	33.2	26.89	44.02	49.3	27.26	21.62	0	0	3	4	1	0	1	0	48	3.8	78.6	87.3	29.59	1.219	0.361	0.1743	0.3195	22.7	3.609	508.7	0.64	56.5	40.6	0	0	14.65	40.8	50.1	43.7	0.0332	13.7
El Salvador	SLV	SV	North America	Central America	13.79	-88.9	21041	6.3	34	6.339	2019	0.627985067	0.36295162	0.715	23.43	27.37	20.75	31.45	16.03	36	0	0.082	13.538	0.656	0.21	0.039	0.014	0.022	0.007	25.17	2.878	8.304	6.689	26.12	0.04	0.027	0.081	8.92	1876.9	1.39	0.074	0.42	-0.0046	2006.1	60.4	27933.9	12.76	97.4	96.7	32.8	33.8	0.244	103	102.73	20.07		47.1	22.29	37.88	44.1	39.01	20.33	0	0	2	0	0	0	4	2	68	13.8	76.7	86.5	31.498	1.287	0.405	0.2308	0.3457	27.9	4.401	416	0.88	57.5	31.5	0	0	12.89	40.5	47.1	51.8	0.0515	9.2
El Salvador	SLV	SV	North America	Central America	13.79	-88.9	21041	6.3	34	6.388	2020	0.627985067	0.36295162	0.778	22.86	26.39		33.65	13.29	38	0	0.077	12.598	0.517	0.196	0.039	0.015	0.02	0.003	24.38	3.315	6.221	8.533	26.42	0.048	0.036	0.076	14.58	3067.8	1.04	0.034	0.57	-0.0022	1964.8	51.7	27869.7	18.14	95.5	102.5	29.8	41	0.271	108.7	103.71	20.64	8.0547	41.9	19.3	29.09	44.7	30.73	22.68	0	0	2	3	0	0	3	2	75	4.5	79.6	87.4	32.371	1.53	0.495	0.2143	0.2804	20.6	3.225	304.1	0.78	66.9	20	0	0	16.56	42.9	41.5	35	0.0402	20.6
El Salvador	SLV	SV	North America	Central America	13.79	-88.9	21041	6.3	34	6.437	2021	0.627985067	0.36295162	0.714	23.35	26.64	19.96	32.57	15.04	37	0	0.08	13.006	0.595	0.241	0.038	0.017	0.022	0.004	30.34	2.706	7.466	8.093	28.61	0.054	0.05	0.081	15.89	3343.4	1.51	0.045	0.37	-0.0054	1772.2	62.2	27805.8	28.05	97.5	105	35.6	40.2	0.279	118.6	112.98	20.57	8.0499	37.3	25.45	40.29	59	38.09	21.54	0	0	3	1	0	0	0	3	50	7.2	86.6	83.6	30.687	1.393	0.427	0.2257	0.1779	26.7	4.148	383.5	0.98	63.5	22.7	0	0	8.32	33.7	43.9	54.5	0.0338	11.1
El Salvador	SLV	SV	North America	Central America	13.79	-88.9	21041	6.3	34	6.486	2022	0.627985067	0.36295162	0.842	24.3	27.15	20.02	35.07	12.43	37	6	0.08	12.959	0.688	0.215	0.036	0.014	0.019	0.011	32.45	4.423	6.077	7.374	25.29	0.054	0.046	0.086	17.32	3644.3	1.09	0.03	0.74	-0.0017	1822.2	64.1	27742.2	11.94	96.4	101.7	35.5	47.4	0.227	116.2	116.04	24.88	8.0479	40.9	23.97	40.56	49.4	28.34	20.23	0	0	1	6	1	0	1	2	40	0	100	89.7	31.153	2.068	0.644	0.2332	0.4462	27.5	4.24	395	1.08	60.2	28.2	0	0	10.34	44.6	50.5	35.9	0.0544	19
El Salvador	SLV	SV	North America	Central America	13.79	-88.9	21041	6.3	34	6.536	2023	0.627985067	0.36295162	0.763	22.24	26.23	19.09	31.04	10.43	40	0	0.076	12.168	0.541	0.234	0.038	0.011	0.023	0.004	33.49	2.797	8.941	6.556	30.79	0.048	0.055	0.068	5.39	1134.1	1.46	0.129	0.36	-0.0052	1848.3	51.4	27678.9	16.74	94.9	98.2	34.7	31.2	0.231	107.4	124.34	22.65	8.0571	40.8	23.11	36.78	54.5	30.95	15.33	2	0	2	3	1	0	1	3	61	4.3	91.2	87.4	34.365	1.481	0.509	0.2286	0.2543	27.9	4.269	322.9	0.96	64.8	41.5	1	20.85	13.2	40.5	42.6	48.7	0.0308	6
El Salvador	SLV	SV	North America	Central America	13.79	-88.9	21041	6.3	34	6.585	2024	0.627985067	0.36295162	0.795	22.36	25.72	18.89	33.57	11.25	41	0	0.09	14.302	0.747	0.229	0.044	0.015	0.024	0.008	30.24	4.402	6.558	7.022	27.8	0.064	0.046	0.079	11.27	2371.3	1.02	0.043	0.36	-0.0031	1793.1	67.3	27615.9	13.57	95.7	91.9	24.8	49	0.256	98.9	127.7	21.62	8.0458	48	29.27	49.05	75.7	34.85	15.54	0	0	0	4	0	0	1	0	62	9.5	87.4	88.6	34.341	1.955	0.671	0.2731	0.2173	31.5	4.784	360.4	0.56	64.1	25	0	0	7.83	54.2	44.1	45.9	0.0641	17.1
El Salvador	SLV	SV	North America	Central America	13.79	-88.9	21041	6.3	34	6.634	2025	0.627985067	0.36295162	0.724	22.4	26.42	19.03	35.09	12.48	44	1	0.086	13.677	0.7	0.183	0.042	0.016	0.02	0.008	34.47	3.903	5.976		31.21	0.066	0.056	0.08	14.92	3139.3	1.32	0.042	0.34	-0.0047	1853.5	53.5	27553.2	22.5	93.2	100.7	31.9	40	0.249	114.6	127.63	19.37		49.5	25.72	38.01	57.6	22.02	21.83	0	0	1	3	1	1	0	0	77	0	73.3	94.8	34.9	1.658	0.579	0.2354	0.3644	35.6	5.366	383.9	0.43	58.6	29.7	0	0	9.85	41.8	34.2	39.8	0.0693	9.5
Equatorial Guinea	GNQ	GQ	Africa	Middle Africa	1.65	10.27	28051	1.7	12	1.326	1990	0.730381848	0.293814075	-0.1	28.24	29.6	27.14	34.89	21.87	32	0	0.01	7.483	0.11	0.03	0.005	0.002	0.003	0	2.57	2.917	5.491	4.17	4.21	0	0	0.041	30.55	8569.6	4.19	0.049	0.79	-0.0121	2098.3	50.5	41301.3	15.86	98.8	92.2	35.1	31.5	0.034	77.4	0.52	-4.07	8.1011	13.7		34.99		23.32	12.45	0	0	0	2	1	1	1	3	134	0	0	102.2	3.359	0.7	0.024	0.0227		4.1	3.092	393.2	0.22	59.8	17.2	0	0	14.11	43.3	56.7		0	15
Equatorial Guinea	GNQ	GQ	Africa	Middle Africa	1.65	10.27	28051	1.7	12	1.339	1991	0.730381848	0.293814075	-0.11	26.9	28.38	25.13	33.8	17.72	28	0	0.01	7.706	0.098	0.029	0.005	0.002	0.003	0	6.74	3.387	5.855	3.569	3.07	0	0	0.043	27.5	7714	1.93	0.025	0.73	-0.0043	2051.9	52.5	41267.8	16.79	91.5	89.8	37.6	36.5	0.03	75.6	2.46	-1.52	8.1031	6.5		35.21		27.37	21.33	0	0	0	1	1	0	0	1	135	0		98.2	3.846	0	0	0.0268		5	3.733	481.1	0.11	62.6	20.2	0	0	16.35	38.3	45.2		0	1.6
Equatorial Guinea	GNQ	GQ	Africa	Middle Africa	1.65	10.27	28051	1.7	12	1.353	1992	0.730381848	0.293814075	0.143	28.04	29.14	27.99	33.81	20.03	25	0	0.009	6.987	0.094	0.031	0.005	0.002	0.002	0	4.89	3.853	4.579	4.52	0.84	0	0	0.037	22.92	6429.3	2.42	0.038	1.46	-0.0034	2153.6	46	41234.4	19.69	99.8	86	31.8	31.1	0.038	76.5	7.43	3.05	8.0989		24.48	38.34	54.4	21.99	17.71	0	1	0	2	0	0	1	0	139	0	22.9	99.3		0.79	0.032	0.0267	0.0257	5.2	3.845	373.8	0.1	52	22.3	0	0	11.88	54	50.6		0	0
Equatorial Guinea	GNQ	GQ	Africa	Middle Africa	1.65	10.27	28051	1.7	12	1.366	1993	0.730381848	0.293814075	0.114	28.64	30.79	27.16	38.43	20.72	31	0	0.01	7.431	0.091	0.033	0.005	0.002	0.003	0	7.46	3.483	4.508	5.022	5.54	0	0	0.041	28.85	8092.7	2.91	0.036	1.2	-0.0061	2075.4	41.4	41201	15.87	98.2	94.4	43.9	34.2	0.039		9.94	4.16	8.0941	17.5		17.22	31.4	40.09	17.64	0	0	1	2	1	1	0	1	125	0	33.4	97.8	4.272	0.68	0.029	0.0259	0.0318	4.2	3.075	327.4	0.12	54.4	26.7	0	0	20.68	46.1	50.6	52.6	0	3.5
Equatorial Guinea	GNQ	GQ	Africa	Middle Africa	1.65	10.27	28051	1.7	12	1.379	1994	0.730381848	0.293814075	0.052	27.24	29.19	26.08	33.78	18.44	31	0	0.011	8.303	0.112	0.033	0.006	0.002	0.003	0.001	5.24	2.639	6.305	4.131	2.28	0	0	0.047	34.75	9747.7	2.08	0.021	1.45	-0.0022	2167	43.3	41167.6	5.93	99.2	93	35.4	31.4	0.029	80.8	12.71	0.54	8.0998	11.2	24.92	37.44		14.39	24.49	0	0	0	2	0	0	0	1	133	1.6	7.5	102.4	5.001	0.548	0.027	0.0312		4.9	3.553	436.6	0.06	55.7	14.2	0	0	10.84	54.7	53.1	39.5	0	3.1
Equatorial Guinea	GNQ	GQ	Africa	Middle Africa	1.65	10.27	28051	1.7	12	1.392	1995	0.730381848	0.293814075	-0.227	27.37	27.75	26.29	34.81	21.6	32	7	0.012	8.718	0.11	0.034	0.006	0.003	0.003	0.001	6.84	3.496	3.942	5.819	0.74	0	0	0.045	34.11	9568.2	2.73	0.029	1.17	-0.0056	2086.6	40.8	41134.3	14.76	105.6	92.5	34.9	33.5	0.035	85.1	11.86	-6.44	8.0854	12.6	26.8	40.03	57.2	21.04	22.29	1	0	4	0	0	0	0	0	136	3.1		98.9	4.741	0.777	0.037	0.0288	0.025	5.7	4.094	391.4	0.21	50.4	32.9	0	0	21.83	48.9	38.9	49.5	0	9.6
Equatorial Guinea	GNQ	GQ	Africa	Middle Africa	1.65	10.27	28051	1.7	12	1.406	1996	0.730381848	0.293814075	-0.055	26.64	27.68		34.16	20.28	30	3	0.012	8.663	0.109	0.036	0.006	0.002	0.003	0.001	6.15	3.075	3.557	6.703	0.96	0	0	0.044	29.74	8342.4	1.91	0.023	0.69	-0.0043	2287.7	44	41101.1	12.53	96.3	95.2	39.2	30.5	0.039	84.9	15.58	-1.31	8.0826	15.4	21.86	38.02	44.4	35.52	20.93	0	0	1	1	1	1	1	1	141	0	4.9	101.2	4.943	0.805	0.04	0.0308	0.0426	4.8	3.415	426.1	0.11	47.9	23.3	0	0	12.89	50.6	45.8	40.8	0	7.8
Equatorial Guinea	GNQ	GQ	Africa	Middle Africa	1.65	10.27	28051	1.7	12	1.419	1997	0.730381848	0.293814075	0.072	27.63	29.31	26.67	36.2	19.49	29	4	0.012	8.72	0.109	0.033	0.006	0.002	0.003	0.001	9.7	3.134	6.813	3.571	6.31	0	0	0.042	39.34	11035.3	4.31	0.039	1.6	-0.0097	2030.6	41.2	41067.9	16.3	99.4	88.7	38.5	29.4	0.037	72.4	25.8	1.78	8.0881	8.6	20	27.15	44.5	29.07	22.85	0	0	0	1	0	0	0	0	125	0	17.9	99.1	5.266	1.08	0.057	0.0328	0.0078	5.2	3.665	380.2	0.05	52	29.2	0	0	5.6	41.7	43.2	42.4	0	15
Equatorial Guinea	GNQ	GQ	Africa	Middle Africa	1.65	10.27	28051	1.7	12	1.432	1998	0.730381848	0.293814075	0.105	27.85	29.49	27.33	33.76	20.77	30	0	0.014	9.832	0.098	0.032	0.007	0.003	0.003	0.001	10.74	3.542	6.434	3.697	6.34	0	0	0.043	26.69	7486.8	4.26	0.057	1.7	-0.0091	2112.7	49.6	41034.7	21.18	100.9	85.6	37.4	29.2	0.041	76.5	28.21	3.64	8.0859	11.8	22.11	33.5	50.7	25.92	18.42	1	0	1	3	0	0	0	0	148	2.7		93.7	5.235	0.609	0.032	0.0361	0.0435	4.1	2.863	401.6	0.19	58	27	0	0	17.79	47.4	56.5	51.2	0	7.5
Equatorial Guinea	GNQ	GQ	Africa	Middle Africa	1.65	10.27	28051	1.7	12	1.445	1999	0.730381848	0.293814075	0.138	28.58	29.78	28.34	36.69	22.72	33	0	0.014	9.689	0.106	0.038	0.007	0.003	0.004	0.001	11.82	2.794	6.934	4.008	1.38	0	0	0.045	28.17	7902	3.13	0.04	1.86	-0.0045	2223.8	40.2	41001.6	17.04	96.9	95.7	44.7	25.3	0.044	87.2	27.8	3.54	8.0866	22.4	25.52	38.24	51.5	25.96	18.83	0	0	0	1	0	1	2	0	152	0	22	100.8	5.127	0.184	0.009	0.0305	0.0391	5.6	3.875	484.6	0.11	49.4	7.5	0	0	13.51	50.3	53.3	29.7	0	10.7
Equatorial Guinea	GNQ	GQ	Africa	Middle Africa	1.65	10.27	28051	1.7	12	1.459	2000	0.730381848	0.293814075	0.137	26.79	28.64	24.5	37.6	20.01	30	0	0.013	9.29	0.101	0.037	0.006	0.002	0.004	0.001	10.76	4.578	6.929	2.457	9.51	0	0	0.047	24.19	6785.5	4.02	0.059	1.15	-0.0102	2312	49.7	40968.6	19.48	103.6	91.7	38.2	27.4	0.047	85.9	30.06	3.72	8.0898	28	25.19	38.35	59.6	30.09	22.93	0		1		0	0	1	2	124	8.2	21.1	89.8	6.081	1.949	0.119	0.0409	0.0287	6.4	4.388	444.1	0.2	63.7	29.5	0	0	17.72	49	53.1	39.1	0	10.7
Equatorial Guinea	GNQ	GQ	Africa	Middle Africa	1.65	10.27	28051	1.7	12	1.472	2001	0.730381848	0.293814075	0.262	28.16	29.34	26.94	34.39	20.61	31	0	0.014	9.672	0.1	0.038	0.007	0.003	0.004	0.001	15.96	2.78	5.742	5.483	2.34	0	0	0.059	33.9	9509.3	2.99	0.031	1.47	-0.0054	2259.4	41.2	40935.6	18.98	99.8	95.8	44.3	32	0.045	88.8	34.78	6.15	8.0856	22.5	22.69	38.23	48.7	37.4	20.26	0	1	3	1	0	1	1	1	142	0	38.9	98.7	6.1	1.329	0.081	0.0367	0.055	5.7	3.873	391.4	0.18	44.9	36.4	0	0	17.42	40.6	45.1	44.1	0	0.1
Equatorial Guinea	GNQ	GQ	Africa	Middle Africa	1.65	10.27	28051	1.7	12	1.485	2002		0.293814075	0.273	28.38	27.99	27.59	35.28	20.69	35	2	0.015	10.267	0.118	0.035	0.008	0.003	0.004	0.001	14.61	2.575	7.353	4.174	0.71	0	0	0.048	30.32	8505.1	4.03	0.047	1.13	-0.0103	2153.8	43.2	40902.7	18.96	102.7	91.9	41	37.1	0.044	93.7	36.62	4.92	8.0821	19.3	20.62	34.43	50.7	36	18.33	0	0	2	3	1	0	0	2	133	5.2	28	101.3	6.052	1.767	0.107	0.0379	0.0427	5.3	3.569	403	0.16	57.8	19.8	0	0	15.12	47.3	49.1	51.4	0	11.5
Equatorial Guinea	GNQ	GQ	Africa	Middle Africa	1.65	10.27	28051	1.7	12	1.498	2003	0.730381848	0.293814075	0.238	26.45	28.22	25.06	32.98	16.08	32	0	0.014	9.466	0.112	0.037	0.007	0.003	0.004	0.001	12.2	3.172	6.707	4.378	5.92	0	0	0.041	37.61	10550	2.86	0.027	1.57	-0.0046	2147.6	41.4	40869.8	20.48	96.4	93.7	42.3	38.8	0.042	92.8	40.04	6.08	8.0797	19.2	23.78	38	53.9	25.7	22.57	0	0	1	2	0	0	1	1	129	9	35	94.8	6.569	1.697	0.111	0.04	0.0459	4.3	2.87	454.6	0.22	53.9	27.7	0	0	12.4	52.1	47.4	47.5	0.0004	7.6
Equatorial Guinea	GNQ	GQ	Africa	Middle Africa	1.65	10.27	28051	1.7	12	1.512	2004	0.730381848	0.293814075	0.212	28.16	29.36	26.12	35.12	21.84	37		0.014	9.459	0.119	0.036	0.007	0.003	0.004	0.001	10.14	3.224	6.506	4.659	2.95	0	0.001	0.053	36.59	10263.9	4.36	0.042	1.85	-0.0089	2120.7	45	40837	15.73	100	97.2	38.9	32.7	0.039	87.8	46.27	5.62	8.0814	16.9	20.39	28.74	47.1	29.38	9.55	0	1	0	2	2	0	0	1	142	7.4	34	94.4	6.957	0.862	0.06	0.0434	0.0441	6.5	4.3	326.9	0.19	61.7	35.1	0	0	15.62	44	51.6	49.5	0.0006	6.5
Equatorial Guinea	GNQ	GQ	Africa	Middle Africa	1.65	10.27	28051	1.7	12	1.525	2005	0.730381848	0.293814075	0.229	27.52	28.82	26.3	33.16	18.97	30	0	0.015	10.309	0.121	0.038	0.008	0.003	0.004	0.001	11.28	3.41	6.24	4.871	2.36	0	0.001	0.042	21.61	6061.8		0.067	1.79	-0.0082	2062.5	51.1	40804.2	10.04	99.3	90.2	41.1	34	0.033	88.2	51.16	6.63	8.0744	19.1	27.06	41.69	61.1	33.28	16.62	0	0	1	1	0	1	0	1	126	0	37	93.5	7.763	0.402	0.031	0.0533	0.0388	6.1	4	406.3	0.1	54.6	31.9	0	0	17.01	54.8	46.3	56.8	0.0031	8.8
Equatorial Guinea	GNQ	GQ	Africa	Middle Africa	1.65	10.27	28051	1.7	12	1.538	2006	0.730381848	0.293814075	0.177	27.9	30.12	27.5	38.08	23.01	30	0	0.015	10.235	0.11	0.039	0.007	0.003	0.004	0.001	13.6	3.226	6.745	4.659	3.76	0	0.002	0.05	31.57	8855.7	2.63	0.03	1.51	-0.004	2161.1	39.6	40771.5	10.53	99.4	92.6	35.7	38.4	0.044	87.9	48.71	3.4	8.0729	21.3	23.91	35.02	54.1	30.23	13.97	0	0	3	2	0	0	1	2	132	3.9	21	92.9	6.792	0.797	0.054	0.0407	0.034	5.1	3.316	366	0.15	55.1	24.5	0	0	13.75	52.2	56	48.9	0.0021	11.1
Equatorial Guinea	GNQ	GQ	Africa	Middle Africa	1.65	10.27	28051	1.7	12	1.551	2007	0.730381848	0.293814075	0.184	27.3	28.27	26.26	32.78	17.37	33	0	0.015	10.188	0.115	0.035	0.007	0.003	0.004	0.001	14.86	3.1	7.062	4.585	3.48	0.001	0.003	0.051	28.61	8025.4	2.82	0.035	0.97	-0.0066	2228.4	37.8	40738.8	16.69	100.4	106.2	38.5	37.4	0.044	100.2	58.17	4.59	8.0746	22.5	23.44	36.14	55.1	36.56	18.63	0	0	0	0	2	0	1	1	119	6.2	30.5	91.7	7.009	0.645	0.045	0.0396	0.0227	7.1	4.576	362.4	0.12	52.3	34	0	0	17.37	44.2	49.9	41.7	0.0042	10.4
Equatorial Guinea	GNQ	GQ	Africa	Middle Africa	1.65	10.27	28051	1.7	12	1.565	2008	0.730381848	0.293814075	0.091	27.09	27.82	25.61	34.14	17.51	32	0	0.017	10.968	0.127	0.031	0.008	0.004	0.005	0.001	17.8	2.485	4.863	7.677	5.43	0.001	0.005	0.051	35.13	9854.3	3.22	0.033	0.75	-0.0088	2042.9	49.7	40706.2	20.92	96.1	96.6	40.4	33.3	0.044	100.4	59.22	-0.2	8.0749	19.1	23.07	38.77	65.9	29.16	20.41	0	0	2	4	0	0	2	1	116	3.4	4.7	97.4	7.746	0.942	0.073	0.051	0.0919	6.7	4.282	418	0.27	63.9	30.4	0	0	12	53.5	48.1	48	0.006	14.3
Equatorial Guinea	GNQ	GQ	Africa	Middle Africa	1.65	10.27	28051		12	1.578	2009	0.730381848	0.293814075	0.267	27.54	28.99	26.66	34.42	19.5	31	0	0.017	11.084	0.121	0.038	0.009	0.003	0.004	0.001	11.58	2.841	6.877	5.313	0.1	0.003	0.007	0.058	28.26	7927.2	2.95	0.037	0.85	-0.0075	2325.9	48.4	40673.7	17.59	96.5	104	38.5	38.2	0.046	97.8	60.3	8.08	8.0731	39.9	24.47	37.81	62.4	25.03	17.59	0	0	1	3	0	2	0	1	150	11.9	41.4	87.2	8.544	1.101	0.094	0.0546	0.0887	5.5	3.486	422	0.16	63	39	0	0	17.91	52	51.4	53.3	0.0042	11.5
Equatorial Guinea	GNQ	GQ	Africa	Middle Africa	1.65	10.27	28051	1.7	12	1.591	2010	0.730381848	0.293814075	0.302	27.9	29.71	26.95	34.33	19.9	32	0	0.017	11.227	0.123	0.04	0.008	0.003	0.005	0.001	4.79	3.69	5.962	5.459	9.68	0.004	0.007	0.055	37.06	10395.7	2.22	0.021	1.2	-0.0036	2067.8	45.6	40641.2	15.27	97.7	95.1	39.9	34	0.045	100.6	64.68	6.34	8.0662	29.5	18.79	25.94	42.8	28.59	25.78	0	0	3	4	1	0	1	2	146	11.8	36.8	94.6	8.403	1.423	0.12	0.0533	0.1201	4.6	2.891	428	0.35	53.9	37.2	0	0	4.36	51.1	46.2	54.8	0.008	16.4
Equatorial Guinea	GNQ	GQ	Africa	Middle Africa	1.65	10.27	28051	1.7	12	1.604	2011	0.730381848	0.293814075	0.294	26.61	28.1	24.94	35.65	20.34	34	0	0.017	11.075	0.13	0.044	0.009	0.003	0.004	0.001	8.79	2.524	7.696	4.992	8.26	0.005	0.008	0.055	28.76	8067.5	3.75	0.046	0.82	-0.0104	2197.3	43.7	40608.7	14.62	98.5	107.1	39.3	22.1	0.041	106.2	76.16	7.09	8.0686	27.9	23.06	35.4	49.4	33.69	16.64	0	0	2	1	1	0	1	0	136	0.9	42.1	94.6	9.269	1.097	0.102	0.0562	0.068	5.3	3.303	437.6	0.2	51.6	39.9	0	0	16.94	56.6	51.7	50.9	0.0093	10.8
Equatorial Guinea	GNQ	GQ	Africa	Middle Africa	1.65	10.27	28051	1.7	12	1.618	2012	0.730381848	0.293814075	0.363	27.03	28.71	25.67	35.75	17.8	39	0	0.019	12.29	0.111	0.04	0.009	0.004	0.005	0.001	13.42	3.591	6.19	5.474	6.04	0.009	0.012	0.051	32.81	9203.5	2.84	0.031	1.32	-0.0054	2175.5	37.1	40576.3	16	102.3	107.3	45.6	32.1	0.044	116.4	77.34	11.83	8.0654	37.2	21.97	30.66	49.4	33.24	19.06	0	0	2	1	1	0	1	0	138	4.6	68.4	89.6	9.701	1.174	0.114	0.0543	0.067	6.4	3.956	329.5	0.21	36.5	37.2	0	0	10.38	57.7	49.8	50.7	0.0075	23.8
Equatorial Guinea	GNQ	GQ	Africa	Middle Africa	1.65	10.27	28051	1.7	12	1.631	2013	0.730381848	0.293814075	0.461	28.02	28.37	26.18	34.36	18.42	38	0	0.018	11.54	0.109	0.045	0.009	0.003	0.005	0.001	15.78	3.019	4.996	7.508	7.18	0.013	0.009	0.054	33.68	9447.6	3.83	0.041	0.71	-0.0111	2135.2	36.8	40544	21.53	94.7	108.5	40.9	30.9	0.047	118.2	78.23	10.61	8.0661	34.7	21.98	32.98	47.1	25.95	17.74	0	1	0	1	1	0	0	1	143	7.2	55.5	89	8.441	1.12	0.095	0.0471	0.0355	7.2	4.415	369.2	0.1	50.1	26.1	0	0	19.1	39.6	56	39.2	0.0134	13.8
Equatorial Guinea	GNQ	GQ	Africa	Middle Africa	1.65	10.27	28051	1.7	12	1.644	2014	0.730381848	0.293814075	0.499	27.4	28.96	25.62	33.76	20.79	40	0	0.018	11.413	0.107		0.009	0.003	0.005	0.001	18.86	2.368	6.101	7.194	10.1	0.013	0.012	0.059	34.92	9795.4	4.35	0.044	1.9	-0.0087	2221.9	40.3	40511.7	16.67	98.8	103.6	42.2	36.1	0.04	108.6	87.76	13.55	8.0683	41.3	26.64	41.5	52.6	26.31	19.54	0	0	2	1	1	1	1	0	136	5.2	77.4	88.5	8.557	1.03	0.088	0.0498	0.0496	5.8	3.527	387.8	0.18	50.6	34.4	0	0	21.3	48.5	48	48	0.0106	10.4
